gender,token,freq,rank
all,cunt,96307,0
all,like,29767,1
all,fuck,23578,2
all,fucking,19610,3
all,whore,18587,4
all,slut,15472,5
all,people,12564,6
all,shit,11632,7
all,ass,9941,8
all,little,8752,9
all,good,8505,10
all,know,8437,11
all,want,8105,12
all,think,7294,13
all,cock,7170,14
all,time,6745,15
all,cum,6673,16
all,pussy,6194,17
all,bitch,6186,18
all,love,5862,19
<<<<<<< HEAD
female,cunt,67538,0
female,like,15613,1
female,fuck,13750,2
female,whore,12488,3
female,fucking,10801,4
female,slut,10480,5
female,people,6388,6
female,ass,5970,7
female,little,5484,8
female,shit,5203,9
female,good,4850,10
female,want,4335,11
female,cock,4071,12
female,know,3955,13
female,love,3619,14
female,cum,3561,15
female,think,3428,16
female,pussy,3366,17
female,dumb,3201,18
female,bitch,3090,19
male,fuck,199,0
male,wit,135,1
male,like,128,2
male,shit,117,3
male,fucking,70,4
male,pom,53,5
male,tha,45,6
male,people,42,7
male,got,41,8
male,think,37,9
male,time,35,10
male,know,34,11
male,man,34,12
male,ass,30,13
male,right,29,14
male,yo,29,15
male,good,26,16
male,poms,26,17
male,come,25,18
male,way,25,19
=======
female,cunt,67051,0
female,like,15556,1
female,fuck,13655,2
female,whore,12391,3
female,fucking,10744,4
female,slut,10322,5
female,people,6369,6
female,ass,5897,7
female,little,5435,8
female,shit,5183,9
female,good,4815,10
female,want,4344,11
female,cock,4018,12
female,know,3935,13
female,love,3592,14
female,cum,3545,15
female,think,3413,16
female,pussy,3372,17
female,dumb,3170,18
female,time,3053,19
male,fuck,240,0
male,like,219,1
male,cunt,160,2
male,shit,159,3
male,wit,135,4
male,fucking,108,5
male,people,83,6
male,think,75,7
male,man,73,8
male,ass,61,9
male,got,59,10
male,good,54,11
male,whore,53,12
male,know,52,13
male,pom,52,14
male,time,46,15
male,want,46,16
male,tha,45,17
male,said,40,18
male,right,40,19
>>>>>>> ea79501ccf07af59d10c36b2a2acdd1e0f74bc6d
